Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2014,"4         ",Male,10,Right-Handed,,,,1,Car,12,,,Skateboarding/Rollerblading,,,,,,,,"Same length",,,"Ring finger",November,Summer,No,No,Other,Water,"Physical education",5,12,3,"Yes - other","In person",0,0,,,,,,,,,,,,,,,,,,,
USA,SC,2015,"11        ",Female,17,Right-Handed,185,24,185,1,Car,10,0.442,34,Basketball,90,100,100,100,35,45,24,"Same length",94,95,"Ring finger",April,Winter,No,No,Poultry,Juice,English,8,6,5,"Yes - broadband connection","Cell phone",45,50,6,3,10,12,8,2,4,6,6,9,2,5,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Relative,"Arts, culture, sports"
USA,GA,2018,"11        ",Male,17,Left-Handed,162.5,23,175,1,Car,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CT,2019,"9         ",Female,14,Right-Handed,160,20,26,2,Bus,40,0.394,37,Other,1000,500,700,500,200,200,22,"Right foot",70,75,"Ring finger",September,Fall,No,No,Seafood,Tea,"Mathematics and statistics",7,6,3,"Yes - other","Internet chat or instant messaging",28,12,12,5,18,4,8,19,9,18,6,0,0,3,"A lot","Graduate degree",Other,Invisibility,Happy,Relative,"Wildlife, animals"
USA,WI,2017,"8         ",Female,14,Right-Handed,152.4,19.05,170,1,Bus,40,.551,36,Other,385,112,32,674,1000,1000,19.05,"Same length",70,65,"Index finger",November,Winter,Yes,No,"Rice/Noodle dishes",Coffee,"Mathematics and statistics",6,12,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",5,5,0,0,3,0,0,2,9,5,8,0,0,0,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Healthy,"Doctor or nurse",Health
USA,UT,2018,"12        ",Female,17,Right-Handed,155,20,148,1,Bus,10,0.355,40,Walking/Hiking,797,711,843,1000,481,310,20,"Same length",79,85,"Ring finger",June,Summer,Yes,No,"No favorite",Water,Music,8,9,5,"Yes - other","Cell phone",35,69,0,0,0,2,1,1,5,7,20,2,0,2,Some,"High school",Other,Fly,Happy,Relative,Health
USA,RI,2013,"6         ",Male,12,Right-Handed,139,4.5,54,1,Bus,38,0.453,38,Baseball/Softball,1000,1000,1000,1000,0,0,4.5,,4,4,"Same length",January,Summer,Yes,No,Other,Water,"Mathematics and statistics",8,8,8,"Yes - broadband connection","Text messaging",10,6,0,0,1,2,2,0.15,1,0.03,1,0.45,0,1,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Healthy,Relative,Other
USA,PA,2018,"12        ",Male,16,Right-Handed,176,26,182,2,Bus,7,.381,39,"Table Tennis",740,670,897,694,560,710,26,"Same length",76,80,"Ring finger",March,Winter,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",5.5,10,4,"Yes - broadband connection","Internet chat or instant messaging",15,150,1,0,15,10,5,10,1,1,10,0,12,3,Some,"Less than high school",Classical,"Freeze time",Healthy,"Business person",Health
USA,CA,2015,"12        ",Male,17,Right-Handed,177.8,30,181,2,Car,30,0.601,51,Basketball,1000,850,900,800,1000,1000,30,"Same length",82,92,"Ring finger",August,Summer,No,No,Meat,Water,"Physical education",5,8,4,"Yes - broadband connection","Cell phone",100,100,24,1,20,10,12,10,10,10,14,21,0,5,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,"Sports person",Environment
USA,CA,2015,"8         ",Male,13,Right-Handed,166,21,166,2,Car,8,0.594,37,Soccer,1000,1000,1000,1000,1000,1000,24,"Right foot",80,82,"Same length",April,Winter,No,No,Pizza/Pasta,"Sports drink","Physical education",10,12,5,"Yes - dial-up connection","Text messaging",31,40,2,2,4,3,6,4,2,1,4,1,3,7,"A lot","Graduate degree",Techno/Electronic,Fly,Rich,"Sports person","Education/Youth development"
