DateOfBite,Species,Breed,Age,Gender,SpayNeuter
December 02 2015,DOG,Pug,7,F,TRUE
January 27 2015,DOG,Jack Russ,11,M,FALSE
January 25 2015,DOG,"Mastiff, Bull",,U,FALSE
January 20 2015,DOG,PIT BULL/GOLDEN RETRIVE X,,U,FALSE
December 26 2014,DOG,Doberman Pinscher,,M,FALSE
January 29 2015,DOG,Pit Bull,,U,FALSE
January 31 2015,DOG,Chihuahua Crossbreed,3,M,FALSE
January 31 2015,DOG,German Shepherd Crossbreed,,F,FALSE
January 23 2015,DOG,German Shepherd,4,M,FALSE
February 04 2015,DOG,Pomeranian,1,F,FALSE
February 05 2015,DOG,Dalmatian,10,M,TRUE
February 01 2015,DOG,Rottweiler,,U,FALSE
February 04 2015,DOG,Rottweiler,,U,FALSE
February 06 2015,DOG,Shiba Inu,3,M,FALSE
February 07 2015,DOG,Maltese,,U,FALSE
February 07 2015,DOG,Pit Bull,5,M,TRUE
February 06 2015,DOG,Dachshund Smooth Coat,,U,FALSE
January 27 2015,DOG,"Poodle, Standard",,U,FALSE
February 10 2015,DOG,"Welsh Corgi, Pembroke",,U,FALSE
February 07 2015,DOG,Shiba Inu,,M,FALSE
February 07 2015,DOG,RAT TERRIER,5,M,TRUE
January 27 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,FALSE
February 11 2015,DOG,Staffordshire Bull Terrier,4,M,FALSE
February 11 2015,DOG,RAT TERRIER,13,F,TRUE
February 09 2015,DOG,American Pit Bull Terrier/Pit Bull,10,F,TRUE
February 12 2015,DOG,German Shepherd,4,M,FALSE
February 12 2015,DOG,Pit Bull,,U,FALSE
February 14 2015,DOG,Akita,,M,FALSE
February 15 2015,DOG,BULL DOG X,,M,FALSE
February 15 2015,DOG,Pit Bull,,U,FALSE
February 13 2015,DOG,American Pit Bull Terrier/Pit Bull,4,M,TRUE
February 17 2015,DOG,Chihuahua,,U,FALSE
February 15 2015,DOG,American Pit Bull Mix / Pit Bull Mix,1,M,FALSE
