ContractID,ServiceContractReference,ContractName,Counterparties,ContractValue,DateOfAward,StartDate,EndDate,MaximumExtensionMonths
000-KBNW7448,(blank),Tenants Home contents insurance,Marsh Limited,500000,01/04/2015,01/04/2015,31/03/2018,24
000-NMWH6293,20047732,iPayImpact,CRB Cunninghams (formerly CRB Solutions),205275,27/11/2014,27/11/2014,26/11/2018,24
000-JCLB6538,SP-15-011-3,Web Based and Propriety Devices - Scottish Procurement Framework SP-15-011-3 Call-off,XMA Limited,1316212.73,30/11/2015,30/11/2015,29/11/2018,12
000-RLFN9364,(blank),Secondment Agreement,McLeod & Aitken,132960,01/10/2018,08/10/2018,08/02/2019,5
000-UGHD8856,416,Personal Protective Equipment - SXL Framework 0416    Call-off,"Allison & Stiven Ltd,Arco Ltd,Bunzl UK Ltd (T/A Greenham),Cleaning and Wiping Supplies Ltd.,Corston Sinclair Limited,D. Gibson Road & Quarry Services Ltd,Donside Group Llp,Gts Central Ltd,Ioma Clothing Company Ltd,James Boylan Safety NI Ltd (T/A JBS Group),Lion Safety,Mo & Co (uk) Ltd,Morna Laird Ltd (t/a Mckinlay Workwear Supplies),Mwuk Ltd (t/a Alexandra),Protective Wear Supplies Ltd,Rexel Uk Limited,Scott Direct Limited,Stax Trade Centres Plc,The Guthrie Group Ltd,Unico Limited,Wc Willis & Co Ltd (t/a Willis Safety)",870000,01/03/2017,01/03/2017,28/02/2019,24
000-MGVY1643,JAN343131,ST-SWS290 (Scolty Centre),Alpha Taxis (Inverurie) Ltd.,7776,21/02/2019,04/02/2019,29/03/2019,12
000-NLAH8944,JAN342214,ST-SWS289 (Easter Anguston Farm),Alpha Taxis (Inverurie) Ltd.,5952,21/02/2019,28/01/2019,29/03/2019,12
000-AVQK9833,Scottish Government,Natural Gas - Scottish Procurement Framework SP-12-005,Total Gas & Power Ltd,9206036.3,01/04/2014,01/04/2014,31/03/2019,12
000-JPPL8518,(blank),DX Post,DX Network Services Limited,63855.4,01/03/2019,01/01/2019,31/03/2019,12
000-FAUE3326,20086202,CATO Suite,Causeway,38080,07/04/2016,07/04/2016,06/04/2019,24
000-JVKC4373,000-JVKC4373,"Collection, Recovery and Disposal of Gas Cylinders",Synergy Recycling,31000,30/04/2018,02/05/2018,01/05/2019,12
000-XBBC7771,000-XBBC7771,Disposal of Asbestos Waste,Taylors Industrial Services Limited,35032,05/07/2018,09/07/2018,08/07/2019,12
000-NJHM4793,1129/ACP/601,"Supply of Floor Cleaning Equipment Framework - Lots 1, 3 & 5",Capital Power Clean Ltd,0,15/09/2016,15/09/2016,14/09/2019,12
000-FKVE3553,1129/ACP/601,"Supply of Floor Cleaning Equipment Framework - Lots 1, 2, 3, 4 & 5",Arrow Supplies (Division of Nilfisk),0,15/09/2016,15/09/2016,14/09/2019,12
000-KVPH1142,1129/ACP/601,"Supply of Floor Cleaning Equipment Framework - Lots 1, 2, 3, 4 & 5",Vaclensa PLC,0,15/09/2016,15/09/2016,14/09/2019,12
000-RWUH9524,1129/ACP/601,"Supply of Floor Cleaning Equipment Framework - Lots 2, 3 & 4",Instock Disposables Limited,0,15/09/2016,15/09/2016,14/09/2019,12
000-VCPV9726,1129/ACP/601,Supply of Floor Cleaning Equipment Framework - Lots 2 & 5,Truvox International Ltd,0,15/09/2016,15/09/2016,14/09/2019,12
000-EURR7581,688/AST/501,Provision of Catering Services at Woodhill House and Gordon House - including refurbishment,Sodexo Limited,200000,24/09/2017,24/09/2017,23/09/2019,0
000-VRWG3538,20113310,iTrent - Payroll & HR System,Midland Software Limited,1035000,28/09/2012,28/09/2012,27/09/2019,48
000-GGDU4294,20073311,Bomgar,Softcat Limited,20000,31/10/2014,31/10/2014,30/09/2019,12
000-XCUT7949,(blank),Treatment and Disposal of Waste Tyres,Sapphire Energy Recovery Ltd,35000,30/08/2018,01/10/2018,30/09/2019,0
000-HFKP5772,18268,Mintlaw Public Toilets,KW Contractors Limited,85882.59,07/06/2019,15/07/2019,04/10/2019,0
